,State,RegionName
477,Virginia,Blacksburg (Virginia Polytechnic Institute and State University)[5]
478,Virginia,Bridgewater (Bridgewater College)[2]
479,Virginia,Charlottesville (University of Virginia)[23]
480,Virginia,"Farmville (Longwood University, Hampden-Sydney College)[2]"
481,Virginia,Fredericksburg (University of Mary Washington)[2]
482,Virginia,"Harrisonburg (James Madison University, Eastern Mennonite University)[2]"
483,Virginia,"Lexington (Washington and Lee University, Virginia Military Institute)[2]"
484,Virginia,"Lynchburg (Lynchburg College, Randolph College, Liberty University, Central Virginia Community College)"
485,Virginia,Radford (Radford University)[2]
486,Virginia,Williamsburg (The College of William & Mary)[2]
487,Virginia,Wise (University of Virginia's College at Wise)[2]
488,Virginia,"Chesapeake (Averett University, DeVry University, Troy University, Tidewater Community College, Strayer University, Everest University, Sentera College of Health Sciences, St Leo University)[2]"
489,Washington,Bellingham (Western Washington University)
490,Washington,Cheney (Eastern Washington University)[2]
491,Washington,Ellensburg (Central Washington University)[5]
492,Washington,Pullman (Washington State University)[5]
493,Washington,"University District, Seattle (University of Washington)[5]"
494,West Virginia,Athens (Concord University)[2]
495,West Virginia,Buckhannon (West Virginia Wesleyan College)[2]
496,West Virginia,Fairmont (Fairmont State University)[2]
497,West Virginia,Glenville (Glenville State College)[2]
498,West Virginia,Huntington (Marshall University)[2]
499,West Virginia,Montgomery (West Virginia University Institute of Technology)[2]
500,West Virginia,Morgantown (West Virginia University)[2]
501,West Virginia,Shepherdstown (Shepherd University)[2]
502,West Virginia,West Liberty (West Liberty University)[2]
503,Wisconsin,Appleton (Lawrence University)
504,Wisconsin,Eau Claire (University of Wisconsin–Eau Claire)
505,Wisconsin,Green Bay (University of Wisconsin-Green Bay)
506,Wisconsin,"La Crosse (University of Wisconsin–La Crosse, Western Technical College, Viterbo University)[2]"
507,Wisconsin,Madison (University of Wisconsin–Madison)[2]
508,Wisconsin,Menomonie (University of Wisconsin–Stout)[2]
509,Wisconsin,"Milwaukee (Marquette University, University of Wisconsin–Milwaukee)"
510,Wisconsin,Oshkosh (University of Wisconsin–Oshkosh)
511,Wisconsin,Platteville (University of Wisconsin–Platteville)[2]
512,Wisconsin,River Falls (University of Wisconsin–River Falls)[2]
513,Wisconsin,Stevens Point (University of Wisconsin–Stevens Point)[2]
514,Wisconsin,Waukesha (Carroll University)
515,Wisconsin,Whitewater (University of Wisconsin–Whitewater)[2]
516,Wyoming,Laramie (University of Wyoming)[5]
